

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


03/10/2021 07:37:16 ||| RECEIVER-1   ||  RECEIVES DATA FROM SENDER-1
03/10/2021 07:37:16 ||| RECEIVER-2   ||  RECEIVES DATA FROM SENDER-2
03/10/2021 07:37:16 ||| RECEIVER-3   ||  RECEIVES DATA FROM SENDER-3
03/10/2021 07:37:16 ||| RECEIVER-4   ||  RECEIVES DATA FROM SENDER-4
03/10/2021 07:37:16 ||| SENDER-1     ||  STARTS SENDING TO RECEIVER-1
03/10/2021 07:37:16 ||| SENDER-2     ||  STARTS SENDING TO RECEIVER-2
03/10/2021 07:37:16 ||| SENDER-3     ||  STARTS SENDING TO RECEIVER-3
03/10/2021 07:37:16 ||| SENDER-4     ||  STARTS SENDING TO RECEIVER-4
03/10/2021 07:37:16 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:16 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:16 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:16 ||| SENDER-3     ||  DATA BIT SEND -1
03/10/2021 07:37:16 ||| CHANNEL...   ||  [-1, -1, 1, 1]
03/10/2021 07:37:16 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:16 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:16 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:16 ||| RECEIVER-3   ||  BIT RECEIVED : 0
03/10/2021 07:37:17 ||| SENDER-2     ||  DATA BIT SEND 1
03/10/2021 07:37:17 ||| SENDER-4     ||  DATA BIT SEND 1
03/10/2021 07:37:17 ||| SENDER-3     ||  DATA BIT SEND 1
03/10/2021 07:37:17 ||| SENDER-1     ||  DATA BIT SEND 1
03/10/2021 07:37:17 ||| CHANNEL...   ||  [1, -1, -1, 1]
03/10/2021 07:37:17 ||| CHANNEL...   ||  [1, -1, 1, -1]
03/10/2021 07:37:17 ||| CHANNEL...   ||  [1, 1, 1, 1]
03/10/2021 07:37:17 ||| RECEIVER-1   ||  BIT RECEIVED : 1
03/10/2021 07:37:17 ||| RECEIVER-4   ||  BIT RECEIVED : 1
03/10/2021 07:37:17 ||| RECEIVER-3   ||  BIT RECEIVED : 1
03/10/2021 07:37:18 ||| SENDER-4     ||  DATA BIT SEND -1
03/10/2021 07:37:18 ||| SENDER-2     ||  DATA BIT SEND -1
03/10/2021 07:37:18 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:18 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:18 ||| SENDER-1     ||  DATA BIT SEND -1
03/10/2021 07:37:18 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
03/10/2021 07:37:18 ||| CHANNEL...   ||  [-1, -1, -1, -1]
03/10/2021 07:37:18 ||| RECEIVER-2   ||  BIT RECEIVED : 0
03/10/2021 07:37:18 ||| RECEIVER-1   ||  BIT RECEIVED : 0
03/10/2021 07:37:18 ||| RECEIVER-4   ||  BIT RECEIVED : 0
03/10/2021 07:37:19 ||| CHANNEL...   ||  [-1, 1, -1, 1]
03/10/2021 07:37:19 ||| CHANNEL...   ||  [-1, 1, 1, -1]
03/10/2021 07:37:19 ||| CHANNEL...   ||  [-1, -1, 1, 1]
