

------------------------------------------------------------------------------------
	WALSH TABLE : [[1, 1, 1, 1], [1, -1, 1, -1], [1, 1, -1, -1], [1, -1, -1, 1]]        
------------------------------------------------------------------------------------


02/10/2021 21:23:31 ||| RECEIVER-1   ||  RECEIVES DATA FROM SENDER-1
02/10/2021 21:23:31 ||| RECEIVER-2   ||  RECEIVES DATA FROM SENDER-2
02/10/2021 21:23:31 ||| RECEIVER-3   ||  RECEIVES DATA FROM SENDER-3
02/10/2021 21:23:31 ||| RECEIVER-4   ||  RECEIVES DATA FROM SENDER-4
02/10/2021 21:23:31 ||| SENDER-1     ||  STARTS SENDING TO RECEIVER-1
02/10/2021 21:23:31 ||| SENDER-2     ||  STARTS SENDING TO RECEIVER-2
02/10/2021 21:23:31 ||| SENDER-3     ||  STARTS SENDING TO RECEIVER-3
02/10/2021 21:23:31 ||| SENDER-4     ||  STARTS SENDING TO RECEIVER-4
02/10/2021 21:23:31 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:31 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:31 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:31 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:31 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:31 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:31 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:31 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:31 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:31 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:31 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:32 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:23:32 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:32 ||| CHANNEL...   ||  [1, 1, -1, -1]
02/10/2021 21:23:32 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:32 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:32 ||| CHANNEL...   ||  [1, -1, -1, 1]
02/10/2021 21:23:32 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:23:32 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:32 ||| RECEIVER-1   ||  BIT RECEIVED : 1
02/10/2021 21:23:32 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:32 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:23:32 ||| RECEIVER-3   ||  BIT RECEIVED : 1
02/10/2021 21:23:33 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:33 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:33 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:33 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:33 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:33 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:33 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:33 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:33 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:33 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:34 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:34 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:34 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:34 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:34 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:34 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:34 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:34 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:34 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:34 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:34 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:34 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:35 ||| CHANNEL...   ||  [1, 1, -1, -1]1
02/10/2021 21:23:35 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:35 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:35 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:35 ||| CHANNEL...   ||  [1, -1, -1, 1]
02/10/2021 21:23:35 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:35 ||| RECEIVER-1   ||  BIT RECEIVED : 1
02/10/2021 21:23:35 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:23:35 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:35 ||| RECEIVER-3   ||  BIT RECEIVED : 1
02/10/2021 21:23:36 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
02/10/2021 21:23:36 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:36 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:36 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:36 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:36 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:36 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:36 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:37 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:37 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:37 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:37 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:37 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:37 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
02/10/2021 21:23:37 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:37 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:37 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:38 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:23:38 ||| CHANNEL...   ||  [1, -1, -1, 1]1
02/10/2021 21:23:38 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:38 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:38 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:23:38 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:38 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:38 ||| RECEIVER-4   ||  BIT RECEIVED : 1

02/10/2021 21:23:38 ||| DATA : [0, 1, 0, 0, 1, 0, 0, 1]

02/10/2021 21:23:38 ||| DATA : [0, 1, 0, 0, 1, 0, 0, 1]

02/10/2021 21:23:38 ||| DATA : [0, 1, 0, 0, 1, 0, 0, 1]

02/10/2021 21:23:38 ||| DATA : [0, 1, 0, 0, 1, 0, 0, 1]

02/10/2021 21:23:38 ||| CHAR RECEIVED : I


02/10/2021 21:23:38 ||| CHAR RECEIVED : I


02/10/2021 21:23:38 ||| CHAR RECEIVED : I

02/10/2021 21:23:39 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:39 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:39 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:39 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:39 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:39 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:39 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:39 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:39 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:39 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:39 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:39 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:40 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:40 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:40 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:40 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:40 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:40 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:40 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:40 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:40 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:41 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:23:41 ||| SENDER-2     ||  DATA BIT SEND 1
02/10/2021 21:23:41 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:41 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:41 ||| SENDER-1     ||  DATA BIT SEND 1
02/10/2021 21:23:41 ||| CHANNEL...   ||  [1, -1, -1, 1]
02/10/2021 21:23:41 ||| CHANNEL...   ||  [1, -1, 1, -1]
02/10/2021 21:23:41 ||| RECEIVER-2   ||  BIT RECEIVED : 1
02/10/2021 21:23:41 ||| RECEIVER-4   ||  BIT RECEIVED : 1
02/10/2021 21:23:42 ||| CHANNEL...   ||  [-1, -1, 1, 1]-1
02/10/2021 21:23:42 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:42 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:42 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:42 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:42 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:42 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:42 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:42 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:43 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:43 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:43 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:43 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:43 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:43 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:43 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:43 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:43 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:44 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:44 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:44 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:44 ||| SENDER-4     ||  DATA BIT SEND -1
02/10/2021 21:23:44 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:44 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:44 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:44 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:44 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:45 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:45 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:45 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:45 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
02/10/2021 21:23:45 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:45 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:45 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:45 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:45 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:45 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:46 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:46 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:46 ||| CHANNEL...   ||  [-1, 1, 1, -1]-1
02/10/2021 21:23:46 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:46 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:46 ||| CHANNEL...   ||  [-1, 1, -1, 1]
02/10/2021 21:23:46 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:46 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:46 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:46 ||| RECEIVER-4   ||  BIT RECEIVED : 0
02/10/2021 21:23:46 ||| RECEIVER-3   ||  BIT RECEIVED : 0

02/10/2021 21:23:46 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

02/10/2021 21:23:46 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

02/10/2021 21:23:46 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

02/10/2021 21:23:46 ||| DATA : [0, 0, 1, 0, 0, 0, 0, 0]

02/10/2021 21:23:46 ||| CHAR RECEIVED :  


02/10/2021 21:23:46 ||| CHAR RECEIVED :  


02/10/2021 21:23:46 ||| CHAR RECEIVED :  


02/10/2021 21:23:46 ||| CHAR RECEIVED :  

02/10/2021 21:23:47 ||| CHANNEL...   ||  [-1, -1, 1, 1]
02/10/2021 21:23:47 ||| SENDER-3     ||  DATA BIT SEND -1
02/10/2021 21:23:47 ||| CHANNEL...   ||  [-1, 1, -1, 1]-1
02/10/2021 21:23:47 ||| SENDER-1     ||  DATA BIT SEND -1
02/10/2021 21:23:47 ||| CHANNEL...   ||  [-1, -1, -1, -1]
02/10/2021 21:23:47 ||| SENDER-2     ||  DATA BIT SEND -1
02/10/2021 21:23:47 ||| CHANNEL...   ||  [-1, 1, 1, -1]
02/10/2021 21:23:47 ||| RECEIVER-1   ||  BIT RECEIVED : 0
02/10/2021 21:23:47 ||| RECEIVER-2   ||  BIT RECEIVED : 0
02/10/2021 21:23:47 ||| RECEIVER-3   ||  BIT RECEIVED : 0
02/10/2021 21:23:48 ||| SENDER-3     ||  DATA BIT SEND 1
02/10/2021 21:23:48 ||| CHANNEL...   ||  [1, 1, -1, -1]
02/10/2021 21:23:48 ||| SENDER-4     ||  DATA BIT SEND 1
02/10/2021 21:23:48 ||| CHANNEL...   ||  [1, 1, 1, 1]
02/10/2021 21:23:48 ||| SENDER-1     ||  DATA BIT SEND 1
