
-----------------------------------------------------------------------------
	###### CHOSEN CSMA TECHNIQUE IS : NON PERSISTENT METHOD ######

21/09/2021 04:52:54 CHANNEL has been initialised

21/09/2021 04:52:54 SENDER-1    ||  PACKET 1 SENT TO CHANNEL
21/09/2021 04:52:54 SENDER-2    ||  PACKET 1 SENT TO CHANNEL
21/09/2021 04:52:54 SENDER-6    ||  PACKET 1 SENT TO CHANNEL
21/09/2021 04:52:54 SENDER-3    ||  PACKET 1 SENT TO CHANNEL
21/09/2021 04:52:54 SENDER-8    ||  PACKET 1 SENT TO CHANNEL
21/09/2021 04:52:54 SENDER-7    ||  PACKET 1 SENT TO CHANNEL

21/09/2021 04:52:55 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:52:55 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-5    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:55 SENDER-8    ||  FOUND CHANNEL BUSY

21/09/2021 04:52:56 RECEIVER-5  ||  PACKET RECEIVED


21/09/2021 04:52:57 RECEIVER-7  ||  PACKET RECEIVED


21/09/2021 04:52:57 RECEIVER-6  ||  PACKET RECEIVED


21/09/2021 04:52:58 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:52:59 RECEIVER-3  ||  PACKET RECEIVED

21/09/2021 04:52:59 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:52:59 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:00 RECEIVER-8  ||  PACKET RECEIVED


21/09/2021 04:53:01 RECEIVER-1  ||  PACKET RECEIVED

21/09/2021 04:53:03 SENDER-1    ||  PACKET 2 SENT TO CHANNEL
21/09/2021 04:53:03 SENDER-7    ||  PACKET 2 SENT TO CHANNEL
21/09/2021 04:53:03 SENDER-6    ||  PACKET 2 SENT TO CHANNEL
21/09/2021 04:53:03 SENDER-2    ||  COLLISION
21/09/2021 04:53:03 SENDER-3    ||  COLLISION
21/09/2021 04:53:03 SENDER-4    ||  COLLISION
21/09/2021 04:53:03 SENDER-5    ||  COLLISION
21/09/2021 04:53:03 SENDER-8    ||  COLLISION
21/09/2021 04:53:03 SENDER-3    ||  PACKET 2 SENT TO CHANNEL
21/09/2021 04:53:03 SENDER-4    ||  PACKET 2 SENT TO CHANNEL
21/09/2021 04:53:03 SENDER-8    ||  COLLISION
21/09/2021 04:53:03 SENDER-5    ||  COLLISION
21/09/2021 04:53:03 SENDER-5    ||  PACKET 2 SENT TO CHANNEL
21/09/2021 04:53:03 SENDER-8    ||  PACKET 2 SENT TO CHANNEL

21/09/2021 04:53:04 RECEIVER-6  ||  PACKET RECEIVED

21/09/2021 04:53:04 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:04 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:04 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:04 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:04 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:04 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:05 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:05 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:05 RECEIVER-7  ||  PACKET RECEIVED


21/09/2021 04:53:06 RECEIVER-1  ||  PACKET RECEIVED


21/09/2021 04:53:06 RECEIVER-2  ||  PACKET RECEIVED


21/09/2021 04:53:07 RECEIVER-3  ||  PACKET RECEIVED


21/09/2021 04:53:08 RECEIVER-4  ||  PACKET RECEIVED

21/09/2021 04:53:08 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:08 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:08 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:08 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:08 SENDER-2    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:08 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:09 SENDER-8    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:09 SENDER-5    ||  FOUND CHANNEL BUSY

21/09/2021 04:53:09 RECEIVER-8  ||  PACKET RECEIVED


21/09/2021 04:53:10 RECEIVER-5  ||  PACKET RECEIVED

21/09/2021 04:53:12 SENDER-7    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:12 SENDER-1    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:12 SENDER-6    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:12 SENDER-3    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:12 SENDER-2    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:12 SENDER-4    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:13 SENDER-5    ||  PACKET 3 SENT TO CHANNEL
21/09/2021 04:53:13 SENDER-8    ||  PACKET 3 SENT TO CHANNEL

21/09/2021 04:53:13 RECEIVER-1  ||  PACKET RECEIVED

21/09/2021 04:53:13 SENDER-7    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:13 SENDER-6    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:13 SENDER-1    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:14 SENDER-3    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:14 SENDER-4    ||  FOUND CHANNEL BUSY
21/09/2021 04:53:14 SENDER-2    ||  FOUND CHANNEL BUSY
